2025-05-23 00:59:35,215 - Broj nekretnina: 2 | Vrijeme: 2025-05-23

2025-05-30 02:41:37,508 - Broj nekretnina: 2 | Vrijeme: 2025-05-30
2025-05-25 16:17:28,271 - Broj nekretnina: 0 | Vrijeme: 2025-05-25
2025-05-25 16:17:28,641 - Broj nekretnina: 0 | Vrijeme: 2025-05-25
2025-05-25 16:17:28,767 - Broj nekretnina: 0 | Vrijeme: 2025-05-25
2025-05-25 16:17:28,955 - Broj nekretnina: 0 | Vrijeme: 2025-05-25
2025-05-25 16:17:29,044 - Broj nekretnina: 0 | Vrijeme: 2025-05-25
2025-05-25 16:18:32,598 - Broj nekretnina: 1 | Vrijeme: 2025-05-25
2025-05-25 17:39:08,873 - Broj nekretnina: 1 | Vrijeme: 2025-05-25
2025-05-25 18:22:30,830 - Broj nekretnina: 1 | Vrijeme: 2025-05-25
2025-05-25 18:22:48,260 - Broj nekretnina: 1 | Vrijeme: 2025-05-25
2025-05-30 19:58:27,203 - Broj nekretnina: 1 | Vrijeme: 2025-05-30
2025-06-14 22:15:07,041 - Broj nekretnina: 1 | Vrijeme: 2025-06-14
2025-06-14 22:17:38,188 - Broj nekretnina: 0 | Vrijeme: 2025-06-14
2025-06-14 22:17:39,129 - Broj nekretnina: 0 | Vrijeme: 2025-06-14
2025-06-14 22:17:59,766 - Broj nekretnina: 1 | Vrijeme: 2025-06-14
2025-06-14 22:19:39,863 - Broj nekretnina: 1 | Vrijeme: 2025-06-14
2025-06-16 22:38:25,592 - Broj nekretnina: 2 | Vrijeme: 2025-06-16
2025-06-16 22:46:10,739 - Broj nekretnina: 3 | Vrijeme: 2025-06-16
